FOODID;FOODNAME;LANG
1;SOCKER;SV
2;FRUKTSOCKER, FRUKTOS;SV
3;SIRAP;SV
4;HONUNG;SV
5;SÖTSAK, KARAMELL;SV
6;CHOKLAD, MEDELVÄRDE;SV
7;CHOKLADKONFEKT MED MARMELADFYLLNING;SV
8;LAKRITS;SV
9;SÖTSAK, MARMELAD;SV
10;MARSIPAN, MANDELMASSA;SV
11;SÖTSAK, TOFFEE;SV
12;SÖTSAK, SALMIAKPASTILL;SV
14;CHOKLADSTÅNG MED CHOKLAD, MEDELVÄRDE;SV
20;KAKAOPULVER, UTAN TILLSATT SOCKER;SV
21;KAKAOPULVER, SOCKRAT;SV
24;SORBITOL;SV
25;GELATIN;SV
26;JÄST, FÄRSK;SV
27;MJÖL, MAJSSTÄRKELSE;SV
28;SENAP;SV
30;KOKSALT, JODERAT;SV
31;KRYDDSÅS, SOJASÅS;SV
32;CHOKLAD, MÖRK CHOKLAD;SV
33;CHOKLAD, MJÖLKCHOKLAD;SV
34;HALVA, SESAMFRÖPREPARAT;SV
35;SÖTSAK, SOCKERFRI;SV
36;MINERALSALT, MEDELVÄRDE;SV
37;CHOKLAD, SOCKERFRI, SYNTETISKT SÖTAD;SV
38;KÖTTBULJONGPULVER/KONCENTRAT;SV
39;SÖTNINGSMEDEL, ASPARTAM, PULVER;SV
40;MELLANMÅLSSTÅNG, FIBERRIK;SV
43;RÅGMALT;SV
44;CHOKLADSTÅNG MED CHOKLADFYLLNING, MEDELVÄRDE;SV
62;PASTILL, SÖTAD MED XYLITOL;SV
63;CHOKLADSTÅNG, LÅG FETTHALT;SV
65;XYLITOLTUGGUMMI;SV
66;TUGGUMMI;SV
68;KORNSTÄRKELSE;SV
69;FRUKTPASTILL, GUMMI ARABICUM;SV
70;SÖTNINGSMEDEL, SACKARIN;SV
73;YOGHURTRUSSIN/YOGHURTFRUKT, ÖVERDRAGEN TORKAD FRUKT;SV
74;BAKPULVER;SV
75;FISKBULJONG, UTSPÄDD;SV
79;SALT, OJODAT BERGSSALT;SV
100;MJÖL, RÅGMJÖL, FULLKORNSMJÖL;SV
103;RÅGFLINGOR;SV
