FOODID;FOODNAME;LANG
1;SUGAR;EN
2;FRUCTOSE;EN
3;SYRUP;EN
4;HONEY;EN
5;SWEET, CANDY;EN
6;CHOCOLATE, AVERAGE;EN
7;CHOCOLATE CONFECTION FILLED WITH MARMALADE;EN
8;LIQUORICE, LICORICE;EN
9;JELLY CANDY, FRUIT JELLY;EN
10;MARZIPAN, ALMOND PASTE;EN
11;TOFFEE;EN
12;SALTY LIQOURICE PASTILLE;EN
14;CHOCOLATE BAR, AVERAGE;EN
20;COCOA POWDER, UNSWEETENED;EN
21;COCOA POWDER WITH SUGAR;EN
24;SORBITOL;EN
25;GELATIN;EN
26;BAKING YEAST, FRESH;EN
27;FLOUR, CORNSTARCH, CORNFLOUR;EN
28;MUSTARD;EN
30;SALT, IODISED;EN
31;SOY SAUCE;EN
32;CHOCOLATE, PLAIN, DARK CHOCOLATE;EN
33;CHOCOLATE, MILK CHOCOLATE;EN
34;HALVA MADE WITH SESAME SEEDS AND SUGAR;EN
35;SWEET, CANDY, SUGAR-FREE;EN
36;SALT, LOW SODIUM;EN
37;CHOCOLATE, ARTIFICIALLY SWEETENED;EN
38;MEAT BOUILLON POWDER/CUBE;EN
39;SWEETENER, ASPARTAM, POWDER;EN
40;CEREAL BAR WITH FIBRE;EN
43;RYE MALT;EN
44;CHOCOLATE BAR WITH FILLING, AVERAGE;EN
62;PASTILLE SWEETENED WITH XYLITOL;EN
63;CHOCOLATE BAR, LOW-FAT;EN
65;CHEWING GUM, XYLITOL SWEETENED;EN
66;CHEWING GUM;EN
68;BARLEY STARCH;EN
69;FRUIT PASTILLE WITH GUM ARABIC;EN
70;SWEETENER, SACCHARIN;EN
73;RAISIN OR DRIED FRUIT COATED WITH YOGHURT;EN
74;BAKING POWDER;EN
75;FISH STOCK BROTH;EN
79;SALT, ROCK SALT, WITHOUT IODINE;EN
100;FLOUR, RYE, WHOLEGRAIN RYE FLOUR;EN
103;RYE FLAKES;EN
110;FLOUR, WHEAT FLOUR, SEMI-COARSE;EN
111;FLOUR, WHOLE WHEAT FLOUR, GRAHAM FLOUR;EN
112;SEMOLINA;EN
113;SEMOLINA, WHOLE WHEAT;EN
114;WHEAT FLAKES;EN
115;WHEAT GERM;EN
116;WHEAT BRAN;EN
117;MACARONI, PASTA;EN
119;MACARONI, WHOLE WHEAT;EN
120;NOODLE, WHEAT;EN
121;PASTA, SPAGHETTI, MACARONI;EN
124;FLOUR, DARK WHEAT FLOUR;EN
125;FLOUR MIXTURE, FOR BREAD ROLLS, WHEAT FLOUR, WHEAT GROATS, RYE;EN
126;FLOUR, BREADCRUMBS;EN
133;WAFER, ICE CREAM CONE;EN
142;FLOUR, WHEAT FLOUR, SEMI-COARSE, BAKERY INDUSTRY, FRESH;EN
150;FLOUR, BARLEY FLOUR;EN
151;BARLEY, PEARL;EN
152;BARLEY, ROLLED, BARLEY FLAKES;EN
153;OATS, ROLLED, OAT FLAKES;EN
154;FLOUR MIXTURE, TALKKUNA POWDER, ROASTED BARLEY, RYE, OAT, PEA;EN
156;RICE, WHITE;EN
158;RICE, WHOLEGRAIN;EN
160;FLOUR, MILLET, WHOLE OR CRUSHED GRAINS;EN
161;FLOUR, BUCKWHEAT, WHOLE OR CRUSHED GRAINS;EN
162;FLOUR, POTATO STARCH, POTATO FLOUR;EN
167;MAIZE, KERNEL, DRIED, UNPOPPED;EN
